day,avg_price,menu_item_count,baker_count,cashier_count,manager_count,baker_tier_max,avg_emp_pay,ad_slots_won,oven_tier,register_tier,fridge_tier,espresso_tier,competitor_count,store_design,revenue
2,4.93,8,3,4,2,1,19.6,3,1,1,1,1,20,industrial,4928.26
3,10.53,12,0,1,1,3,27.0,6,3,3,1,1,19,classic,7012.02
4,11.12,9,4,3,1,1,28.95,3,1,2,2,2,22,modern,5731.94
5,7.12,7,3,1,0,2,26.97,4,2,2,1,1,26,modern,5082.08
6,7.92,9,1,2,1,2,17.13,3,3,3,2,2,21,modern,5997.24
7,8.3,12,2,3,0,2,26.04,4,2,1,2,3,21,classic,5736.77
8,10.08,9,1,0,2,1,23.93,5,1,1,1,3,16,industrial,6446.42
9,10.31,12,0,1,1,3,15.11,0,1,2,3,2,6,industrial,6481.58
10,8.68,9,3,4,2,3,20.73,4,1,1,3,2,18,modern,7912.23
11,5.21,11,2,1,0,3,25.21,5,1,3,1,3,5,modern,8058.38
12,4.24,7,3,2,2,2,23.11,1,3,1,3,3,6,cozy,7615.98
13,8.17,11,4,2,1,2,19.53,1,2,2,3,1,12,modern,7038.3
14,7.78,8,0,4,1,3,31.26,4,2,3,2,2,22,modern,6778.1
15,10.04,8,3,3,2,1,24.64,2,1,2,3,1,25,classic,4873.08
16,11.62,11,4,0,2,2,19.97,0,2,3,3,2,6,classic,6884.87
17,7.55,8,1,4,1,1,33.94,5,1,2,3,1,11,cozy,6772.87
18,5.45,6,4,2,0,1,17.4,0,3,3,2,3,4,cozy,5816.86
19,10.71,8,4,2,1,3,32.38,3,1,3,2,2,11,modern,8003.83
20,7.57,11,0,4,1,2,32.21,6,1,2,1,3,20,classic,6848.05
1,6.18,3,0,1,1,3,17.01,2,3,2,1,3,12,classic,5387.82
2,6.61,10,3,1,1,3,30.04,2,2,2,2,1,22,industrial,6149.81
3,11.82,6,0,2,0,3,23.64,3,1,1,3,1,19,cozy,5217.02
4,4.64,11,4,2,1,2,20.02,6,3,1,2,1,26,classic,6795.45
5,4.01,7,3,0,1,3,21.69,2,2,3,3,2,15,cozy,6411.46
6,8.4,11,1,2,1,2,28.46,3,3,2,1,2,23,cozy,6072.35
7,7.44,5,1,2,1,3,27.25,3,1,1,1,2,11,industrial,5718.67
8,8.65,9,2,3,1,3,26.74,3,2,1,1,1,8,industrial,7792.65
9,9.13,4,1,1,1,1,16.91,3,3,1,1,2,20,cozy,4700.22
10,8.75,4,3,2,0,1,29.75,3,3,1,1,3,30,industrial,4262.02
11,3.74,8,2,3,1,3,33.7,4,2,1,3,3,9,cozy,7638.29
12,7.95,11,2,2,1,3,19.54,0,2,2,2,2,12,classic,6052.11
13,6.08,3,4,1,1,2,24.38,0,3,2,2,2,4,cozy,6323.0
14,10.27,11,2,1,1,3,23.74,1,1,3,3,3,16,cozy,6132.83
15,5.38,4,3,1,2,3,31.15,5,2,2,3,3,21,classic,7028.83
16,5.05,7,0,3,2,2,20.44,4,2,1,2,1,8,modern,6159.2
17,11.74,3,1,0,1,2,17.5,3,3,1,1,1,8,modern,6033.28
18,6.15,10,2,3,2,1,21.6,6,1,1,2,2,6,classic,8104.26
19,5.04,7,3,0,0,3,19.98,6,2,1,3,1,10,classic,6731.52
20,7.52,7,2,1,2,3,15.84,4,3,1,2,2,24,cozy,6604.11
1,5.19,3,1,0,0,3,23.68,0,1,2,3,1,16,industrial,3235.19
2,8.44,10,4,1,1,1,19.97,3,1,3,3,2,28,modern,5497.88
3,4.01,5,4,0,0,2,19.65,4,3,2,2,3,10,modern,7414.09
4,5.63,3,3,3,2,2,25.85,3,1,3,1,3,15,cozy,6495.68
5,9.73,7,4,4,0,1,25.62,3,2,2,3,2,18,industrial,7002.12
6,9.74,3,4,2,2,1,21.41,0,3,3,2,1,20,classic,4698.69
7,10.01,5,4,2,1,2,27.82,0,1,3,3,1,5,classic,6290.06
8,5.22,10,1,0,0,3,27.84,3,3,2,3,3,26,modern,5375.08
9,3.92,6,4,0,0,1,28.11,6,1,2,3,1,15,industrial,5287.11
10,10.49,3,4,2,2,1,29.69,6,2,1,1,3,7,classic,7985.61
11,9.66,11,3,1,0,3,28.14,4,3,1,3,3,21,modern,7464.39
12,9.23,9,0,1,0,3,23.03,2,3,1,3,3,18,industrial,5839.98
13,11.17,11,2,2,1,3,23.61,5,2,3,1,3,21,industrial,8090.94
14,6.56,10,3,3,0,3,15.69,2,3,1,3,1,13,industrial,7471.87
15,6.05,6,1,2,0,3,31.45,4,3,3,3,3,8,modern,7943.37
16,4.68,8,4,1,0,2,31.22,0,3,2,3,1,27,cozy,4436.07
17,9.65,10,1,3,2,3,26.52,0,3,3,2,1,27,modern,5325.96
18,11.34,8,2,3,1,1,32.4,1,3,3,3,1,24,modern,4751.9
19,3.96,11,0,2,2,3,17.99,4,3,1,1,1,25,classic,5533.6
20,9.9,12,4,0,0,2,20.8,3,1,1,2,1,19,classic,5666.62
1,8.16,7,0,3,2,2,30.48,1,1,2,3,1,19,modern,4202.94
2,5.56,7,3,2,2,3,16.79,5,2,2,2,2,10,cozy,8661.31
3,6.43,3,2,1,1,3,31.43,6,2,3,1,2,5,industrial,8114.97
4,4.83,4,0,0,0,3,33.53,6,2,1,2,3,29,industrial,4548.9
5,6.09,10,0,2,0,3,25.76,1,3,3,2,3,19,modern,4797.45
6,6.7,11,0,2,0,1,20.68,6,3,3,2,1,18,modern,5614.15
7,4.07,7,2,0,0,2,32.35,5,2,1,2,3,26,modern,5491.15
8,5.08,11,3,4,2,1,15.8,4,2,2,2,2,27,modern,6553.74
9,3.66,8,2,2,0,3,20.52,0,3,2,2,1,21,cozy,4780.62
10,11.13,5,0,3,2,3,27.25,5,3,1,2,1,22,industrial,6276.44
11,7.12,7,4,2,1,3,17.64,5,1,3,3,3,29,cozy,7078.28
12,7.16,5,4,1,1,1,26.15,5,1,1,2,1,27,cozy,5242.99
13,10.01,9,3,2,1,3,33.68,5,3,2,1,1,7,modern,8951.11
14,8.65,12,1,4,0,1,28.75,2,1,3,2,1,20,industrial,5156.32
15,9.55,8,1,3,1,2,17.75,1,1,1,2,1,12,classic,5399.99
16,9.94,4,1,3,2,2,28.76,6,2,1,2,2,28,cozy,5960.22
17,8.67,9,2,3,2,3,26.44,4,3,3,3,1,20,modern,7873.58
18,10.96,6,4,4,1,3,15.79,3,3,3,1,1,13,modern,8240.25
19,6.88,7,2,3,0,2,20.89,0,3,3,1,2,30,classic,3589.83
20,5.03,12,4,1,1,2,21.47,0,1,2,3,3,10,modern,6555.14
1,4.27,8,1,0,0,1,29.12,5,2,1,3,3,16,classic,5417.57
2,6.72,9,0,1,1,3,32.43,6,1,1,1,1,28,cozy,4387.94
3,7.07,7,3,2,2,1,17.35,1,1,1,3,2,4,modern,5736.96
4,8.67,10,1,1,2,3,24.51,3,2,1,3,3,4,modern,8427.93
5,11.0,7,4,4,0,1,18.7,0,3,2,1,1,5,cozy,6300.96
6,6.31,4,0,0,1,1,18.23,2,3,3,3,3,23,industrial,3245.14
7,11.71,12,2,0,0,2,21.46,3,1,2,3,1,13,cozy,6353.41
8,6.3,9,4,1,2,1,27.24,0,3,3,3,3,6,industrial,7147.09
9,9.65,12,2,3,2,2,20.19,4,3,2,1,3,22,classic,7011.01
10,7.69,5,4,1,2,2,34.59,0,1,1,2,3,29,classic,4053.72
11,9.77,6,4,3,1,1,21.68,4,3,1,1,3,10,modern,7790.77
12,6.12,11,4,2,0,1,28.72,2,2,3,3,3,4,modern,7592.52
13,5.15,8,3,3,0,3,17.72,1,3,2,3,2,18,cozy,6276.33
14,10.6,7,4,2,2,3,15.37,4,3,2,2,1,8,modern,8475.06
15,10.65,8,3,4,0,3,27.11,1,3,1,2,3,14,industrial,7084.5
16,7.72,6,2,3,1,1,25.5,1,1,2,1,1,6,modern,5132.34
17,7.8,10,4,1,0,2,33.47,5,3,2,2,1,28,classic,6713.82
18,5.24,3,3,3,2,3,17.32,2,1,3,3,1,14,cozy,5677.5
19,11.06,4,4,2,0,3,30.17,5,1,2,1,1,13,classic,7088.26
20,9.2,7,1,1,1,1,15.31,4,3,3,1,1,21,classic,5437.16
1,8.17,7,1,2,2,1,18.43,2,3,2,3,2,5,industrial,6922.77
2,4.4,3,0,3,1,1,29.09,4,3,3,3,2,23,modern,4939.3
3,6.16,6,4,0,1,3,17.64,6,3,2,1,2,13,industrial,7859.92
4,7.5,6,1,4,1,2,22.84,5,3,2,2,2,19,classic,6128.77
5,4.06,4,2,3,1,1,20.65,2,3,3,1,3,7,modern,5787.73
6,6.27,4,2,4,1,2,26.81,1,3,1,3,1,19,modern,5205.62
7,4.06,6,4,3,1,3,30.75,4,3,1,1,3,25,classic,7379.52
8,4.47,12,3,2,2,1,31.44,1,2,2,1,3,7,classic,7311.89
9,6.28,3,0,1,0,3,33.07,5,1,1,3,1,18,classic,4382.03
10,5.16,8,2,4,2,2,33.37,3,3,2,1,3,4,classic,8100.76
11,10.7,7,0,2,2,1,15.02,4,2,1,2,1,11,classic,5516.42
12,9.55,9,3,3,2,1,28.25,3,1,1,3,2,30,industrial,5487.07
13,10.64,5,2,1,0,1,16.43,0,1,3,2,3,17,industrial,4315.72
14,8.96,9,3,4,1,3,18.6,4,2,3,2,2,15,cozy,8290.47
15,5.08,12,0,4,1,3,19.73,4,2,2,3,3,15,cozy,7797.42
16,9.49,4,4,3,2,1,17.84,5,3,2,2,3,6,classic,8679.06
17,5.58,4,4,4,1,3,16.06,2,3,1,2,2,20,modern,6723.05
18,7.08,7,2,1,0,3,33.46,5,2,3,3,2,5,industrial,7792.55
19,8.41,12,0,2,2,3,15.55,3,1,1,3,1,29,classic,4995.35
20,5.84,7,0,0,2,1,33.2,5,1,3,2,2,29,industrial,4394.95
1,5.72,6,3,1,2,1,21.86,0,1,3,1,2,28,cozy,4045.45
2,9.12,5,1,4,2,2,16.09,2,1,1,1,2,16,cozy,5529.97
3,6.06,11,1,3,2,3,22.8,2,1,3,2,1,13,classic,6833.92
4,11.67,3,0,4,2,2,34.12,3,3,3,2,2,12,industrial,6444.7
5,10.32,7,4,3,1,3,29.98,5,3,3,1,3,14,industrial,8575.94
6,8.15,3,0,0,1,1,25.51,5,2,2,1,3,13,industrial,4409.76
7,5.14,3,4,0,0,3,28.13,6,1,3,3,1,26,industrial,5781.11
8,6.7,12,1,0,2,1,20.07,3,3,1,3,2,12,cozy,6586.63
9,9.38,8,2,1,0,2,30.54,3,2,2,1,2,30,classic,4437.56
10,11.83,6,4,3,0,3,24.84,1,3,2,1,3,24,classic,6505.9
11,11.26,7,0,0,0,1,26.43,2,2,1,2,1,24,modern,2767.42
12,5.76,8,3,4,0,3,29.15,6,2,2,2,2,27,classic,6319.13
13,8.09,3,3,3,0,3,25.71,2,2,3,2,2,5,modern,6503.02
14,6.61,8,0,3,1,3,19.06,4,1,2,3,1,13,modern,5758.15
15,11.12,8,3,0,2,2,29.71,1,1,1,1,3,22,classic,5223.78
16,7.75,10,0,0,1,1,21.75,5,1,2,1,1,29,industrial,4369.28
17,11.49,11,1,4,0,1,15.74,1,2,3,1,2,23,classic,5401.7
18,3.62,3,2,0,1,3,18.41,4,1,1,1,2,23,cozy,4810.26
19,4.04,6,3,2,2,3,23.04,0,3,3,3,1,14,cozy,6335.92
20,8.54,8,0,0,1,1,30.15,1,3,2,3,1,18,modern,3568.25
1,11.37,3,1,0,2,3,22.52,1,1,2,1,1,4,cozy,5831.89
2,7.04,10,1,1,0,3,20.42,3,2,1,1,3,26,industrial,5361.77
3,8.57,10,4,0,2,2,21.96,0,3,1,1,1,20,modern,5928.99
4,7.45,6,2,0,0,1,30.93,5,2,2,1,1,25,cozy,4543.28
5,3.96,8,2,1,1,2,21.69,6,2,1,1,3,5,modern,8274.53
6,7.62,4,0,1,2,2,26.85,2,2,1,3,3,14,modern,5167.03
7,10.12,8,1,0,0,3,23.25,1,2,1,1,2,22,cozy,3799.46
8,5.34,12,3,1,1,2,17.73,5,1,3,2,2,10,cozy,8167.82
9,4.58,12,0,2,0,1,32.03,3,2,1,2,1,13,industrial,4630.47
10,8.41,11,1,0,1,3,24.78,1,3,2,2,2,4,cozy,6854.92
11,9.76,6,1,2,1,3,19.45,4,1,3,1,2,5,classic,7751.95
12,7.12,9,3,0,1,2,19.81,4,1,3,3,2,10,modern,7389.18
13,6.55,6,0,0,1,3,21.1,5,2,3,3,3,4,cozy,8201.19
14,10.93,9,1,2,2,2,29.08,0,3,1,2,3,14,cozy,6153.72
15,6.02,7,4,4,2,1,30.75,0,3,2,3,1,20,modern,5930.9
16,4.44,8,3,4,0,2,22.33,5,3,3,1,3,26,modern,6650.93
17,4.68,8,1,4,0,3,24.57,6,3,3,1,3,28,cozy,6932.21
18,7.78,9,2,0,0,2,21.9,3,3,3,1,2,26,industrial,5403.28
19,7.34,8,0,1,1,1,16.6,1,2,1,1,1,12,industrial,4244.77
20,10.94,11,0,2,1,3,25.83,1,2,2,2,2,27,cozy,5189.57
